URL,Product,ProductCode,PriceIncVAT,PriceExcVAT,SalesUnit,Manufacturer,SellingUnitDesc
https://www.grantandstone.co.uk/3-4-fxf-brass-socket-tcb1195,3/4 Fxf Brass Socket,TCB1195,£4.52,£3.77,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/22mm-brass-cxc-bs5154-gatevalve-tcb15221,22mm Brass Cxc Bs5154 Gatevalve,TCB15221,£11.23,£9.36,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/1-25in-fxf-brass-socket-tcb1197,1.25In Fxf Brass Socket,TCB1197,£9.85,£8.21,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/1in-fxf-brass-socket-tcb1196,1In Fxf Brass Socket,TCB1196,£7.19,£5.99,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/brass-cap-1-81603559,"Brass Cap 1""",81603559,£3.84,£3.20,Sold by / EA,Primaflow,Each
https://www.grantandstone.co.uk/3-4-brass-flanged-plug-tcx1124,3/4 Brass Flanged Plug,TCX1124,£2.27,£1.89,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/1-2-brass-flanged-plug-tcx1123,1/2 Brass Flanged Plug,TCX1123,£1.68,£1.40,Sold by / EA,Embrass Peerless,Each
https://www.grantandstone.co.uk/bath-pop-up-waste-cp-puw200-puw200,Bath Pop-Up Waste Cp Puw200,PUW200,£34.31,£28.59,Sold by / EA,Methven Uk Ltd,Each
https://www.grantandstone.co.uk/basin-waste-push-open-chrome-50105000,Basin Waste Push Open Chrome,50105000,£30.53,£25.44,Sold by / EA,Hansgrohe Ltd,Each
https://www.grantandstone.co.uk/1-1-2-combination-bath-waste-who74ss-wst1-5bthcom,1 1/2 Combination Bath Waste Who74Ss,WST1.5BTHCOM,£7.36,£6.13,Sold by / EA,Cme Sanitary Systems,Each
https://www.grantandstone.co.uk/1-1-2-combination-sink-waste-wso32ss-wst1-5snkcom,1 1/2 Combination Sink Waste Wso32Ss,WST1.5SNKCOM,£6.95,£5.79,Sold by / EA,Cme Sanitary Systems,Each
